"TaskName","TaskPath","State"
"Dell SupportAssistAgent AutoUpdate","\","Disabled"
"GarminUpdaterTask","\","Ready"
"MicrosoftEdgeUpdateTaskMachineCore","\","Ready"
"MicrosoftEdgeUpdateTaskMachineUA","\","Ready"
"MicrosoftEdgeUpdateTaskUserS-1-5-21-1644079127-1291031853-2162120719-1002Core{8AF74727-A821-4014-8752-DED9FC580439}","\","Ready"
"MicrosoftEdgeUpdateTaskUserS-1-5-21-1644079127-1291031853-2162120719-1002UA{5C98AFDA-6D7D-47B6-AA11-78D50D1522CF}","\","Ready"
"OneDrive Reporting Task-S-1-5-21-1644079127-1291031853-2162120719-500","\","Ready"
"OneDrive Standalone Update Task-S-1-5-21-1644079127-1291031853-2162120719-1003","\","Ready"
"OneDrive Standalone Update Task-S-1-5-21-1644079127-1291031853-2162120719-500","\","Ready"
"Power_a17007","\","Ready"
"SamsungMagician","\","Disabled"
"ZoomUpdateTaskUser-S-1-5-21-1644079127-1291031853-2162120719-1003","\","Ready"
"GoogleUpdaterTaskSystem152.0.7933.0{0A44381D-703B-4625-BAAD-C7AF100C0B0B}","\GoogleSystem\GoogleUpdater\","Ready"
"RunPlatformExperienceHelperOnUnlock","\GoogleUserPEH\","Ready"
"RunPlatformExperienceHelper_Daily","\GoogleUserPEH\","Ready"
"RunPlatformExperienceHelper_Metrics","\GoogleUserPEH\","Ready"
"Intel® Management and Security Status","\Intel\","Ready"
"Start Thunderbolt application on login if service is up","\Intel\Thunderbolt\","Ready"
"Start Thunderbolt application on switch user if service is up","\Intel\Thunderbolt\","Ready"
"Start Thunderbolt application when hardware is detected","\Intel\Thunderbolt\","Ready"
"Start Thunderbolt service on boot if driver is up","\Intel\Thunderbolt\","Ready"
"Start Thunderbolt service when hardware is detected","\Intel\Thunderbolt\","Ready"
"Firefox Background Update S-1-5-21-1644079127-1291031853-2162120719-1003 3F5FD2D081C24B6D","\Mozilla\","Ready"
"Firefox Default Browser Agent 3F5FD2D081C24B6D","\Mozilla\","Ready"
