"Name","DisplayName","State"
"AdobeUpdateService","AdobeUpdateService","Running"
"ApHidMonitorService","AlpsAlpine HID Monitor Service","Running"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running"
"Audiosrv","Windows Audio","Running"
"BFE","Base Filtering Engine","Running"
"Bonjour Service","Bonjour Service","Running"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running"
"CDPSvc","Connected Devices Platform Service","Running"
"CoreMessagingRegistrar","CoreMessaging","Running"
"cplspcon","Intel(R) Content Protection HDCP Service","Running"
"CryptSvc","Cryptographic Services","Running"
"DcomLaunch","DCOM Server Process Launcher","Running"
"DeviceAssociationService","Device Association Service","Running"
"Dhcp","DHCP Client","Running"
"DispBrokerDesktopSvc","Display Policy Service","Running"
"Dnscache","DNS Client","Running"
"DPS","Diagnostic Policy Service","Running"
"DusmSvc","Data Usage","Running"
"edgeupdate","Microsoft Edge Update Service (edgeupdate)","Stopped"
"esifsvc","Intel(R) Dynamic Platform and Thermal Framework service","Running"
"EventLog","Windows Event Log","Running"
"EventSystem","COM+ Event System","Running"
"FontCache","Windows Font Cache Service","Running"
"gpsvc","Group Policy Client","Running"
"hostcontrolsvc","Credential Vault Host Control Service","Running"
"hoststoragesvc","Credential Vault Host Storage","Running"
"igccservice","Intel(R) Graphics Command Center Service","Running"
"igfxCUIService2.0.0.0","Intel(R) HD Graphics Control Panel Service","Running"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Running"
"Intel(R) TPM Provisioning Service","Intel(R) TPM Provisioning Service","Stopped"
"IntelAudioService","Intel(R) Audio Service","Stopped"
"iphlpsvc","IP Helper","Running"
"jhi_service","Intel(R) Dynamic Application Loader Host Interface Service","Running"
"LanmanServer","Server","Running"
"LanmanWorkstation","Workstation","Running"
"LMS","Intel(R) Management and Security Application Local Management Service","Running"
"LSM","Local Session Manager","Running"
"MapsBroker","Downloaded Maps Manager","Stopped"
"MDCoreSvc","Microsoft Defender Core Service","Running"
"mpssvc","Windows Defender Firewall","Running"
"NlaSvc","Network Location Awareness","Running"
"nsi","Network Store Interface Service","Running"
"Power","Power","Running"
"Power_a17007","Power_a17007","Running"
"ProfSvc","User Profile Service","Running"
"RasMan","Remote Access Connection Manager","Running"
"RpcEptMapper","RPC Endpoint Mapper","Running"
"RpcSs","Remote Procedure Call (RPC)","Running"
"RstMwService","Intel(R) Storage Middleware Service","Stopped"
"RtkAudioService","Realtek Audio Service","Running"
"SamSs","Security Accounts Manager","Running"
"Schedule","Task Scheduler","Running"
"SENS","System Event Notification Service","Running"
"ShellHWDetection","Shell Hardware Detection","Running"
"Spooler","Print Spooler","Running"
"sppsvc","Software Protection","Stopped"
"stisvc","Windows Image Acquisition (WIA)","Running"
"StorSvc","Storage Service","Running"
"SysMain","SysMain","Running"
"SystemEventsBroker","System Events Broker","Running"
"TabletInputService","Touch Keyboard and Handwriting Panel Service","Running"
"Themes","Themes","Running"
"TrkWks","Distributed Link Tracking Client","Running"
"UserManager","User Manager","Running"
"ushupgradesvc","Credential Vault Upgrade Service","Running"
"UsoSvc","Update Orchestrator Service","Running"
"W32Time","Windows Time","Running"
"WavesSysSvc","Waves Audio Services","Running"
"Wcmsvc","Windows Connection Manager","Running"
"WinDefend","Microsoft Defender Antivirus Service","Running"
"Winmgmt","Windows Management Instrumentation","Running"
"WlanSvc","WLAN AutoConfig","Running"
"WMIRegistrationService","Intel(R) Management Engine WMI Provider Registration","Running"
"WpnService","Windows Push Notifications System Service","Running"
"wscsvc","Security Center","Running"
"WSearch","Windows Search","Running"
"CDPUserSvc_cf581","Connected Devices Platform User Service_cf581","Running"
"OneSyncSvc_cf581","Sync Host_cf581","Running"
"WpnUserService_cf581","Windows Push Notifications User Service_cf581","Running"
"CDPUserSvc_6dcaa7e","Connected Devices Platform User Service_6dcaa7e","Running"
"OneSyncSvc_6dcaa7e","Sync Host_6dcaa7e","Running"
"WpnUserService_6dcaa7e","Windows Push Notifications User Service_6dcaa7e","Running"
"GoogleUpdaterInternalService152.0.7933.0","Google Updater Internal Service (GoogleUpdaterInternalService152.0.7933.0)","Stopped"
"sshd","OpenSSH SSH Server","Running"
"GoogleUpdaterService152.0.7933.0","Google Updater Service (GoogleUpdaterService152.0.7933.0)","Stopped"
"Tailscale","Tailscale","Running"
