            name            |                setting                 | unit |       source       | sourcefile | sourceline |  context   
----------------------------+----------------------------------------+------+--------------------+------------+------------+------------
 application_name           | psql                                   |      | client             |            |            | user
 cluster_name               | 16/main                                |      | configuration file |            |            | postmaster
 DateStyle                  | ISO, MDY                               |      | configuration file |            |            | user
 default_text_search_config | pg_catalog.english                     |      | configuration file |            |            | user
 dynamic_shared_memory_type | posix                                  |      | configuration file |            |            | postmaster
 effective_cache_size       | 12582912                               | 8kB  | configuration file |            |            | user
 lc_messages                | en_US.UTF-8                            |      | configuration file |            |            | superuser
 lc_monetary                | en_US.UTF-8                            |      | configuration file |            |            | user
 lc_numeric                 | en_US.UTF-8                            |      | configuration file |            |            | user
 lc_time                    | en_US.UTF-8                            |      | configuration file |            |            | user
 log_line_prefix            | %m [%p] %q%u@%d                        |      | configuration file |            |            | sighup
 log_timezone               | Etc/UTC                                |      | configuration file |            |            | sighup
 maintenance_work_mem       | 2097152                                | kB   | configuration file |            |            | user
 max_connections            | 100                                    |      | configuration file |            |            | postmaster
 max_wal_size               | 1024                                   | MB   | configuration file |            |            | sighup
 min_wal_size               | 80                                     | MB   | configuration file |            |            | sighup
 port                       | 5432                                   |      | configuration file |            |            | postmaster
 shared_buffers             | 4194304                                | 8kB  | configuration file |            |            | postmaster
 ssl                        | on                                     |      | configuration file |            |            | sighup
 ssl_cert_file              | /etc/ssl/certs/ssl-cert-snakeoil.pem   |      | configuration file |            |            | sighup
 ssl_key_file               | /etc/ssl/private/ssl-cert-snakeoil.key |      | configuration file |            |            | sighup
 TimeZone                   | Etc/UTC                                |      | configuration file |            |            | user
 wal_buffers                | 8192                                   | 8kB  | configuration file |            |            | postmaster
 work_mem                   | 262144                                 | kB   | configuration file |            |            | user
(24 rows)

