name	setting	unit	context	source	sourcefile	sourceline	pending_restart	boot_val	reset_val
allow_in_place_tablespaces	off		superuser	default			f	off	off
allow_system_table_mods	off		superuser	default			f	off	off
application_name	psql		user	client			f		psql
archive_cleanup_command			sighup	default			f		
archive_command	(disabled)		sighup	default			f		
archive_library			sighup	default			f		
archive_mode	off		postmaster	default			f	off	off
archive_timeout	0	s	sighup	default			f	0	0
array_nulls	on		user	default			f	on	on
authentication_timeout	60	s	sighup	default			f	60	60
autovacuum	on		sighup	default			f	on	on
autovacuum_analyze_scale_factor	0.1		sighup	default			f	0.1	0.1
autovacuum_analyze_threshold	50		sighup	default			f	50	50
autovacuum_freeze_max_age	200000000		postmaster	default			f	200000000	200000000
autovacuum_max_workers	3		postmaster	default			f	3	3
autovacuum_multixact_freeze_max_age	400000000		postmaster	default			f	400000000	400000000
autovacuum_naptime	60	s	sighup	default			f	60	60
autovacuum_vacuum_cost_delay	2	ms	sighup	default			f	2	2
autovacuum_vacuum_cost_limit	-1		sighup	default			f	-1	-1
autovacuum_vacuum_insert_scale_factor	0.2		sighup	default			f	0.2	0.2
autovacuum_vacuum_insert_threshold	1000		sighup	default			f	1000	1000
autovacuum_vacuum_scale_factor	0.2		sighup	default			f	0.2	0.2
autovacuum_vacuum_threshold	50		sighup	default			f	50	50
autovacuum_work_mem	-1	kB	sighup	default			f	-1	-1
backend_flush_after	0	8kB	user	default			f	0	0
backslash_quote	safe_encoding		user	default			f	safe_encoding	safe_encoding
backtrace_functions			superuser	default			f		
bgwriter_delay	200	ms	sighup	default			f	200	200
bgwriter_flush_after	64	8kB	sighup	default			f	64	64
bgwriter_lru_maxpages	100		sighup	default			f	100	100
bgwriter_lru_multiplier	2		sighup	default			f	2	2
block_size	8192		internal	default			f	8192	8192
bonjour	off		postmaster	default			f	off	off
bonjour_name			postmaster	default			f		
bytea_output	hex		user	default			f	hex	hex
check_function_bodies	on		user	default			f	on	on
checkpoint_completion_target	0.9		sighup	default			f	0.9	0.9
checkpoint_flush_after	32	8kB	sighup	default			f	32	32
checkpoint_timeout	300	s	sighup	default			f	300	300
checkpoint_warning	30	s	sighup	default			f	30	30
client_connection_check_interval	0	ms	user	default			f	0	0
client_encoding	UTF8		user	default			f	SQL_ASCII	UTF8
client_min_messages	notice		user	default			f	notice	notice
cluster_name	16/main		postmaster	configuration file			f		16/main
commit_delay	0		superuser	default			f	0	0
commit_siblings	5		user	default			f	5	5
compute_query_id	auto		superuser	default			f	auto	auto
constraint_exclusion	partition		user	default			f	partition	partition
cpu_index_tuple_cost	0.005		user	default			f	0.005	0.005
cpu_operator_cost	0.0025		user	default			f	0.0025	0.0025
cpu_tuple_cost	0.01		user	default			f	0.01	0.01
createrole_self_grant			user	default			f		
cursor_tuple_fraction	0.1		user	default			f	0.1	0.1
data_checksums	off		internal	default			f	off	off
data_directory_mode	0700		internal	default			f	448	448
data_sync_retry	off		postmaster	default			f	off	off
DateStyle	ISO, MDY		user	configuration file			f	ISO, MDY	ISO, MDY
db_user_namespace	off		sighup	default			f	off	off
deadlock_timeout	1000	ms	superuser	default			f	1000	1000
debug_assertions	off		internal	default			f	off	off
debug_discard_caches	0		superuser	default			f	0	0
debug_io_direct			postmaster	default			f		
debug_logical_replication_streaming	buffered		user	default			f	buffered	buffered
debug_parallel_query	off		user	default			f	off	off
debug_pretty_print	on		user	default			f	on	on
debug_print_parse	off		user	default			f	off	off
debug_print_plan	off		user	default			f	off	off
debug_print_rewritten	off		user	default			f	off	off
default_statistics_target	100		user	default			f	100	100
default_table_access_method	heap		user	default			f	heap	heap
default_tablespace			user	default			f		
default_text_search_config	pg_catalog.english		user	configuration file			f	pg_catalog.simple	pg_catalog.english
default_toast_compression	pglz		user	default			f	pglz	pglz
default_transaction_deferrable	off		user	default			f	off	off
default_transaction_isolation	read committed		user	default			f	read committed	read committed
default_transaction_read_only	off		user	default			f	off	off
dynamic_shared_memory_type	posix		postmaster	configuration file			f	posix	posix
effective_cache_size	12582912	8kB	user	configuration file			f	524288	12582912
effective_io_concurrency	1		user	default			f	1	1
enable_async_append	on		user	default			f	on	on
enable_bitmapscan	on		user	default			f	on	on
enable_gathermerge	on		user	default			f	on	on
enable_hashagg	on		user	default			f	on	on
enable_hashjoin	on		user	default			f	on	on
enable_incremental_sort	on		user	default			f	on	on
enable_indexonlyscan	on		user	default			f	on	on
enable_indexscan	on		user	default			f	on	on
enable_material	on		user	default			f	on	on
enable_memoize	on		user	default			f	on	on
enable_mergejoin	on		user	default			f	on	on
enable_nestloop	on		user	default			f	on	on
enable_parallel_append	on		user	default			f	on	on
enable_parallel_hash	on		user	default			f	on	on
enable_partition_pruning	on		user	default			f	on	on
enable_partitionwise_aggregate	off		user	default			f	off	off
enable_partitionwise_join	off		user	default			f	off	off
enable_presorted_aggregate	on		user	default			f	on	on
enable_seqscan	on		user	default			f	on	on
enable_sort	on		user	default			f	on	on
enable_tidscan	on		user	default			f	on	on
escape_string_warning	on		user	default			f	on	on
event_source	PostgreSQL		postmaster	default			f	PostgreSQL	PostgreSQL
exit_on_error	off		user	default			f	off	off
extra_float_digits	1		user	default			f	1	1
file_extend_method	posix_fallocate		sighup	default			f	posix_fallocate	posix_fallocate
from_collapse_limit	8		user	default			f	8	8
fsync	on		sighup	default			f	on	on
full_page_writes	on		sighup	default			f	on	on
geqo	on		user	default			f	on	on
geqo_effort	5		user	default			f	5	5
geqo_generations	0		user	default			f	0	0
geqo_pool_size	0		user	default			f	0	0
geqo_seed	0		user	default			f	0	0
geqo_selection_bias	2		user	default			f	2	2
geqo_threshold	12		user	default			f	12	12
gin_fuzzy_search_limit	0		user	default			f	0	0
gin_pending_list_limit	4096	kB	user	default			f	4096	4096
gss_accept_delegation	off		sighup	default			f	off	off
hash_mem_multiplier	2		user	default			f	2	2
hot_standby	on		postmaster	default			f	on	on
hot_standby_feedback	off		sighup	default			f	off	off
huge_pages	try		postmaster	default			f	try	try
huge_page_size	0	kB	postmaster	default			f	0	0
icu_validation_level	warning		user	default			f	warning	warning
idle_in_transaction_session_timeout	0	ms	user	default			f	0	0
idle_session_timeout	0	ms	user	default			f	0	0
ignore_checksum_failure	off		superuser	default			f	off	off
ignore_invalid_pages	off		postmaster	default			f	off	off
ignore_system_indexes	off		backend	default			f	off	off
in_hot_standby	off		internal	default			f	off	off
integer_datetimes	on		internal	default			f	on	on
IntervalStyle	postgres		user	default			f	postgres	postgres
jit	on		user	default			f	on	on
jit_above_cost	100000		user	default			f	100000	100000
jit_debugging_support	off		superuser-backend	default			f	off	off
jit_dump_bitcode	off		superuser	default			f	off	off
jit_expressions	on		user	default			f	on	on
jit_inline_above_cost	500000		user	default			f	500000	500000
jit_optimize_above_cost	500000		user	default			f	500000	500000
jit_profiling_support	off		superuser-backend	default			f	off	off
jit_tuple_deforming	on		user	default			f	on	on
join_collapse_limit	8		user	default			f	8	8
krb_caseins_users	off		sighup	default			f	off	off
lc_messages	en_US.UTF-8		superuser	configuration file			f		en_US.UTF-8
lc_monetary	en_US.UTF-8		user	configuration file			f	C	en_US.UTF-8
lc_numeric	en_US.UTF-8		user	configuration file			f	C	en_US.UTF-8
lc_time	en_US.UTF-8		user	configuration file			f	C	en_US.UTF-8
listen_addresses	localhost		postmaster	default			f	localhost	localhost
local_preload_libraries			user	default			f		
lock_timeout	0	ms	user	default			f	0	0
lo_compat_privileges	off		superuser	default			f	off	off
log_autovacuum_min_duration	600000	ms	sighup	default			f	600000	600000
log_checkpoints	on		sighup	default			f	on	on
log_connections	off		superuser-backend	default			f	off	off
log_destination	stderr		sighup	default			f	stderr	stderr
log_disconnections	off		superuser-backend	default			f	off	off
log_duration	off		superuser	default			f	off	off
log_error_verbosity	default		superuser	default			f	default	default
log_executor_stats	off		superuser	default			f	off	off
log_file_mode	0600		sighup	default			f	384	384
logging_collector	off		postmaster	default			f	off	off
log_hostname	off		sighup	default			f	off	off
logical_decoding_work_mem	65536	kB	user	default			f	65536	65536
log_line_prefix	%m [%p] %q%u@%d 		sighup	configuration file			f	%m [%p] 	%m [%p] %q%u@%d 
log_lock_waits	off		superuser	default			f	off	off
log_min_duration_sample	-1	ms	superuser	default			f	-1	-1
log_min_duration_statement	-1	ms	superuser	default			f	-1	-1
log_min_error_statement	error		superuser	default			f	error	error
log_min_messages	warning		superuser	default			f	warning	warning
log_parameter_max_length	-1	B	superuser	default			f	-1	-1
log_parameter_max_length_on_error	0	B	user	default			f	0	0
log_parser_stats	off		superuser	default			f	off	off
log_planner_stats	off		superuser	default			f	off	off
log_recovery_conflict_waits	off		sighup	default			f	off	off
log_replication_commands	off		superuser	default			f	off	off
log_rotation_age	1440	min	sighup	default			f	1440	1440
log_rotation_size	10240	kB	sighup	default			f	10240	10240
